,SAMPN,hhincome,AutoxAdults,HHSIZ,Weight2,PERNO
8011,4643799,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),6,1386.7236,12
8012,4643804,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),2,2159.1340600000003,10
8013,4643863,"1 Less than $20,000",0,2,139.17091000000002,3
8014,4643879,"1 Less than $20,000",0,2,188.7719,2
8015,4643990,"1 Less than $20,000",0,4,725.9561,4
8016,4643995,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),4,434.28495999999996,32
8017,4644025,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,139.17091000000002,12
8018,4644217,"3 $35,000 - $59,999",Autos = Adults (18 yrs or older),2,56.46402,6
8019,4644540,"3 $35,000 - $59,999",Autos < Adults (18 yrs or older),4,564.00115,8
8020,4644611,"4 $60,000 -  $99,999",Autos = Adults (18 yrs or older),1,68.56496,4
8021,4644895,"1 Less than $20,000",Autos = Adults (18 yrs or older),3,669.24821,14
8022,4644995,"4 $60,000 -  $99,999",0,3,364.91388,8
8023,4645032,"1 Less than $20,000",Autos = Adults (18 yrs or older),1,189.87281000000002,3
8024,4645310,"5 More than $100,000",Autos = Adults (18 yrs or older),4,91.40963,24
8025,4645372,"4 $60,000 -  $99,999",0,1,44.031459999999996,8
8026,4645421,"5 More than $100,000",Autos = Adults (18 yrs or older),1,52.289609999999996,5
8027,4645431,"5 More than $100,000",Autos < Adults (18 yrs or older),3,168.20351000000002,9
8028,4645557,"4 $60,000 -  $99,999",Autos < Adults (18 yrs or older),2,69.32975,15
8029,4645625,"5 More than $100,000",Autos = Adults (18 yrs or older),1,52.289609999999996,8
8030,4645627,"5 More than $100,000",Autos < Adults (18 yrs or older),3,168.20351000000002,8
8031,4645642,"2 $20,000 - $34,999",Autos < Adults (18 yrs or older),2,2104.92667,5
8032,4645664,"5 More than $100,000",Autos = Adults (18 yrs or older),1,52.289609999999996,6
8033,4645899,"5 More than $100,000",Autos > Adults (18 yrs or older),2,31.783895,14
8034,4645921,na,Autos < Adults (18 yrs or older),2,38.0707,8
8035,4645954,"5 More than $100,000",Autos < Adults (18 yrs or older),2,189.170545,16
8036,4645963,"1 Less than $20,000",Autos < Adults (18 yrs or older),2,1833.8094,6
8037,4646395,"2 $20,000 - $34,999",Autos = Adults (18 yrs or older),1,290.91695,3
8038,4646506,na,Autos = Adults (18 yrs or older),1,44.031459999999996,14
8039,4646683,"3 $35,000 - $59,999",0,1,503.83353,1
8040,4646820,na,0,1,269.04024,2
